variable,class_val,estimate,std_err
Intercept,,-2.924547526376303,0.22471832684634122
age,,-0.0782017521916032,0.025474122653412225
campaign,,-0.10445415744892068,0.027311791021424447
previous,,-0.1550388813684835,0.030852721695793846
emp_var_rate,,-0.999627268027686,0.08997390876193803
cons_price_idx,,0.02227052090983656,0.02155893646368856
cons_conf_idx,,-0.4839254378881603,0.05387478065217122
euribor3m,,1.3386408029420696,0.11370485620594488
nr_employed,,-0.6067744391499948,0.06247421074049965
job,blue-collar,0.0867737865285198,0.026074165056996387
job,entrepreneur,0.07151792212245409,0.025006254548571787
job,housemaid,-0.2885420436511244,0.04019794305557871
job,management,0.10104644343394668,0.027073251040376268
job,retired,0.6845346818354491,0.06791742772848144
job,self-employed,0.05699084159535612,0.02398935891167493
job,services,0.0188621457990318,0.021320350205932228
job,student,0.4133542030197407,0.048934794211381846
job,technician,-0.040741470035333634,0.022851902902473353
job,unemployed,-0.15091173861811175,0.030563821703267824
job,unknown,0.2819624729092218,0.03973737310364553
marital,married,-0.00176754423875088,0.020123728096712562
marital,single,0.03982726561068108,0.022787908592747676
marital,unknown,0.8881117322749376,0.08216782125924564
education,basic.6y,0.2751059480842057,0.0392574163658944
education,basic.9y,0.15706916669418203,0.030994841668592746
education,high.school,0.16866132026496106,0.03180629241854727
education,illiterate,0.6833549812518842,0.0678348486876319
education,professional.course,0.09757614051271933,0.026830329835890353
education,university.degree,0.26691043400308656,0.038683730380216066
education,unknown,0.14592513204825563,0.030214759243377895
default,unknown,-0.11515409271336191,0.028060786489935333
default,yes,-0.07926077887293935,0.025548254521105755
housing,unknown,-0.20665239867610127,0.034465667907327094
housing,yes,-0.0538317537824844,0.02376822276477391
loan,unknown,-0.20665239867610127,0.034465667907327094
loan,yes,-0.01731519660556248,0.021212063762389374
contact,telephone,-0.3438152236916514,0.0440670656584156
month,aug,0.31654099228445565,0.0421578694599119
month,dec,-0.10626099869998584,0.02743826990899901
month,jul,-0.42933967391853983,0.05005377717429779
month,jun,-0.4051018813289495,0.04835713169302647
month,mar,0.7432683892632167,0.07202878724842518
month,may,-1.1016671400875266,0.09711669980612687
month,nov,-1.5445535539477484,0.12811874877634238
month,oct,1.2651346314645178,0.10855942420251626
month,sep,0.0,0.02
day_of_week,mon,-0.3070155814852212,0.041491090703965484
day_of_week,thu,-0.1773997502617639,0.03241798251832348
day_of_week,tue,-0.16532626557640967,0.03157283859034868
day_of_week,wed,0.07271939867127683,0.02509035790698938
poutcome,nonexistent,-0.18711825274685964,0.03309827769228017
poutcome,success,-0.2845442028068983,0.03991809419648289
was_contacted_before,,0.412,0.04884
